CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F186,F187,F188,F189,F191,F192,
,,,,,Age : Age 16 and over - Qualification; highest level of : Total\ Highest level of qualification - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : No qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 1 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 2 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 3 qualifications - Unit : Persons,Age : Age 16 and over - Qualification; highest level of : Level 4 qualifications and above - Unit : Persons,
552,95EE09,Killoquin Lower,Wards and Electoral Divisions,WED,1500,494,159,256,161,288,
553,95EE10,Killoquin Upper,Wards and Electoral Divisions,WED,1388,483,145,213,163,239,
554,95EE11,Knockaholet,Wards and Electoral Divisions,WED,1339,420,138,207,157,288,
555,95EE12,Newhill,Wards and Electoral Divisions,WED,1968,705,302,318,224,272,
556,95EE13,Route,Wards and Electoral Divisions,WED,1280,506,126,195,123,234,
557,95EE14,Seacon,Wards and Electoral Divisions,WED,2083,614,254,352,277,442,
558,95EE15,Stranocum,Wards and Electoral Divisions,WED,1357,458,165,221,160,245,
559,95EE16,The Vow,Wards and Electoral Divisions,WED,1614,489,207,297,189,298,
560,95FF01,Ballydown,Wards and Electoral Divisions,WED,3660,666,437,600,535,1174,
561,95FF02,Ballyward,Wards and Electoral Divisions,WED,2105,576,225,323,275,456,
562,95FF03,Banbridge West,Wards and Electoral Divisions,WED,2304,583,360,402,335,432,
563,95FF04,Bannside,Wards and Electoral Divisions,WED,2038,571,220,311,258,519,
564,95FF05,Dromore North,Wards and Electoral Divisions,WED,2045,590,258,309,226,478,
565,95FF06,Dromore South,Wards and Electoral Divisions,WED,3093,689,342,487,437,867,
566,95FF07,Edenderry,Wards and Electoral Divisions,WED,2091,733,310,333,214,298,
567,95FF08,Fort,Wards and Electoral Divisions,WED,1941,634,251,293,224,388,
568,95FF09,Gilford,Wards and Electoral Divisions,WED,1935,664,264,306,185,346,
569,95FF10,Gransha,Wards and Electoral Divisions,WED,2625,588,306,441,352,720,
570,95FF11,Katesbridge,Wards and Electoral Divisions,WED,2014,595,216,307,253,466,
571,95FF12,Lawrencetown,Wards and Electoral Divisions,WED,2184,671,240,298,263,549,
572,95FF13,Loughbrickland,Wards and Electoral Divisions,WED,2087,583,260,326,224,528,
573,95FF14,Quilly,Wards and Electoral Divisions,WED,1917,474,182,291,198,625,
574,95FF15,Rathfriland,Wards and Electoral Divisions,WED,2144,783,252,328,260,315,
575,95FF16,Seapatrick,Wards and Electoral Divisions,WED,1910,482,217,303,242,530,
576,95FF17,The Cut,Wards and Electoral Divisions,WED,1434,558,185,197,149,233,
577,95GG01,Andersonstown,Wards and Electoral Divisions,WED,4151,1508,508,588,462,760,
578,95GG02,Ardoyne,Wards and Electoral Divisions,WED,4454,2163,677,659,383,315,
579,95GG03,Ballyhackamore,Wards and Electoral Divisions,WED,4897,948,394,599,581,2019,
580,95GG04,Ballymacarrett,Wards and Electoral Divisions,WED,3862,1810,539,511,292,427,
581,95GG05,Ballynafeigh,Wards and Electoral Divisions,WED,5043,910,386,496,604,2258,
582,95GG06,Ballysillan,Wards and Electoral Divisions,WED,4503,1611,673,707,528,587,
583,95GG07,Beechmount,Wards and Electoral Divisions,WED,4242,1620,642,594,448,638,
584,95GG08,Bellevue,Wards and Electoral Divisions,WED,3870,1150,469,619,471,884,
585,95GG09,Belmont,Wards and Electoral Divisions,WED,5018,1226,542,675,535,1631,
586,95GG10,Blackstaff,Wards and Electoral Divisions,WED,3388,1188,369,384,404,681,
587,95GG11,Bloomfield,Wards and Electoral Divisions,WED,4544,1274,456,544,520,1318,
588,95GG12,Botanic,Wards and Electoral Divisions,WED,8071,927,496,720,3172,2332,
589,95GG13,Castleview,Wards and Electoral Divisions,WED,3820,1207,415,486,424,1042,
590,95GG14,Cavehill,Wards and Electoral Divisions,WED,3890,648,368,579,540,1522,
591,95GG15,Cherryvalley,Wards and Electoral Divisions,WED,4901,978,405,649,558,1964,
592,95GG16,Chichester Park,Wards and Electoral Divisions,WED,4343,1104,474,618,546,1311,
593,95GG17,Cliftonville,Wards and Electoral Divisions,WED,4048,1339,609,672,455,698,
594,95GG18,Clonard,Wards and Electoral Divisions,WED,3841,1604,549,582,371,503,
595,95GG19,Crumlin,Wards and Electoral Divisions,WED,3619,2062,487,397,263,186,
596,95GG20,Duncairn,Wards and Electoral Divisions,WED,3992,1655,511,470,377,707,
597,95GG21,Falls,Wards and Electoral Divisions,WED,4134,2077,548,466,336,432,
598,95GG22,Falls Park,Wards and Electoral Divisions,WED,4400,1468,561,657,503,900,
599,95GG23,Finaghy,Wards and Electoral Divisions,WED,3766,768,323,477,476,1432,
600,95GG24,Fortwilliam,Wards and Electoral Divisions,WED,3756,1123,395,487,405,1022,
601,95GG25,Glen Road,Wards and Electoral Divisions,WED,4483,1562,604,759,572,703,
602,95GG26,Glencairn,Wards and Electoral Divisions,WED,2990,1436,392,428,262,227,
603,95GG27,Glencolin,Wards and Electoral Divisions,WED,5057,1845,762,815,619,706,
604,95GG28,Highfield,Wards and Electoral Divisions,WED,4393,1662,624,635,514,585,
605,95GG29,Island,Wards and Electoral Divisions,WED,3992,1375,390,463,380,1009,
606,95GG30,Knock,Wards and Electoral Divisions,WED,3947,1064,403,545,464,1117,
607,95GG31,Ladybrook,Wards and Electoral Divisions,WED,5115,1605,697,837,603,984,
608,95GG32,Legoniel,Wards and Electoral Divisions,WED,4915,1701,672,759,566,832,
609,95GG33,Malone,Wards and Electoral Divisions,WED,4534,373,189,463,491,2843,
610,95GG34,Musgrave,Wards and Electoral Divisions,WED,4057,910,391,493,503,1461,
611,95GG35,New Lodge,Wards and Electoral Divisions,WED,3931,2066,458,477,303,424,
612,95GG36,Orangefield,Wards and Electoral Divisions,WED,4625,1073,518,632,568,1371,
613,95GG37,Ravenhill,Wards and Electoral Divisions,WED,5118,825,350,509,517,2519,
614,95GG38,Rosetta,Wards and Electoral Divisions,WED,5511,873,308,528,507,3025,
615,95GG39,Shaftesbury,Wards and Electoral Divisions,WED,6134,2160,511,565,709,1702,
616,95GG40,Shankill,Wards and Electoral Divisions,WED,3020,1696,338,343,230,237,
617,95GG41,Stormont,Wards and Electoral Divisions,WED,4523,647,329,608,512,2183,
618,95GG42,Stranmillis,Wards and Electoral Divisions,WED,7120,424,241,633,2378,3148,
619,95GG43,Sydenham,Wards and Electoral Divisions,WED,4087,1314,479,497,451,944,
620,95GG44,The Mount,Wards and Electoral Divisions,WED,4484,1737,516,515,447,775,
621,95GG45,Upper Malone,Wards and Electoral Divisions,WED,3956,1016,378,437,374,1486,
622,95GG46,Upper Springfield,Wards and Electoral Divisions,WED,4092,1999,577,566,398,322,
623,95GG47,Water Works,Wards and Electoral Divisions,WED,4629,1796,667,639,468,747,
624,95GG48,Whiterock,Wards and Electoral Divisions,WED,4142,2107,598,536,387,327,
625,95GG49,Windsor,Wards and Electoral Divisions,WED,7475,653,307,571,2487,3037,
626,95GG50,Woodstock,Wards and Electoral Divisions,WED,4477,1514,601,519,429,1015,
627,95GG51,Woodvale,Wards and Electoral Divisions,WED,3319,1697,489,365,259,238,
628,95HH01,Blackhead,Wards and Electoral Divisions,WED,1711,435,174,268,188,487,
629,95HH02,Bluefield,Wards and Electoral Divisions,WED,2293,382,327,421,380,587,
630,95HH03,Boneybefore,Wards and Electoral Divisions,WED,1404,362,148,191,154,397,
631,95HH04,Burleigh Hill,Wards and Electoral Divisions,WED,2531,535,316,438,374,596,
632,95HH05,Clipperstown,Wards and Electoral Divisions,WED,1630,575,264,246,212,180,
633,95HH06,Eden,Wards and Electoral Divisions,WED,3611,660,555,662,555,840,
634,95HH07,Gortalee,Wards and Electoral Divisions,WED,1234,439,186,205,129,164,
635,95HH08,Greenisland,Wards and Electoral Divisions,WED,2169,453,211,325,284,706,
636,95HH09,Killycrot,Wards and Electoral Divisions,WED,2301,732,268,320,250,506,
637,95HH10,Knockagh,Wards and Electoral Divisions,WED,1923,291,172,325,263,757,
638,95HH11,Love Lane,Wards and Electoral Divisions,WED,1143,457,176,165,115,117,
639,95HH12,Milebush,Wards and Electoral Divisions,WED,1252,360,183,216,163,204,
640,95HH13,Northland,Wards and Electoral Divisions,WED,1052,410,194,155,128,80,
